file_path,file_type,likely_experiment,likely_use,contains_accuracy,contains_precision_recall_f1,contains_latency,contains_resource,contains_hls_tripcount,contains_kernel_latency,contains_full_application_latency,contains_sparsity_info,usable_for_paper,notes
results/fixed16_fit/v3b1_qkv_ii1_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v1_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3a_ii2_csynth.log,log,Linear_Transformer_reference,run_log,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/00_project_scan.md,md,Linear_Transformer_reference,report_or_text,yes,yes,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v1_csim.log,log,Linear_Transformer_reference,run_log,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3b2_attn_num_ii1_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3b4_attn_out_ii1_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v2_resource_summary.md,md,Linear_Transformer_reference,report_or_text,no,yes,no,yes,no,no,no,no,yes,
results/fixed16_fit/v3a_ii2_csim.log,log,Linear_Transformer_reference,run_log,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v2_resource_csynth.log,log,Linear_Transformer_reference,run_log,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3b_combined_v2_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3b_combined_v3_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3b3_ffn_out_ii1_csynth.rpt,rpt,Linear_Transformer_reference,HLS_or_Vivado_evidence,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v3a_ii2_summary.md,md,Linear_Transformer_reference,report_or_text,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v1_summary.md,md,unclear,report_or_text,no,no,yes,yes,no,no,no,no,review,
results/fixed16_fit/v1_csynth.log,log,Linear_Transformer_reference,run_log,no,no,yes,yes,no,no,no,no,yes,
results/fixed16_fit/v2_resource_csim.log,log,Linear_Transformer_reference,run_log,no,no,yes,yes,no,no,no,no,yes,
results/linear_unsw_baseline/README.md,md,unclear,report_or_text,yes,yes,no,no,no,no,no,no,review,
results/linear_unsw_baseline/confusion_matrix.csv,csv,unclear,table_or_figure_data,no,no,no,no,no,no,no,no,review,
results/linear_unsw_baseline/training_log.csv,csv,unclear,table_or_figure_data,yes,yes,no,no,no,no,no,no,review,
results/linear_unsw_baseline/metrics_summary.csv,csv,unclear,table_or_figure_data,yes,yes,no,no,no,no,no,no,review,
results/pynq_sparse_pareto/final_pynq_sparse_pareto_summary.csv,csv,legacy_sparse_pareto,table_or_figure_data,yes,yes,yes,yes,no,no,no,yes,yes,
results/pynq_sparse_pareto/experiment1_naming_convention.md,md,legacy_sparse_pareto,report_or_text,no,no,no,yes,no,no,no,yes,yes,
results/pynq_sparse_pareto/speedup_fix_report.md,md,legacy_sparse_pareto,report_or_text,yes,no,yes,no,no,yes,no,no,yes,
results/pynq_sparse_pareto/final_e2e_image_latency_summary.csv,csv,legacy_sparse_pareto,table_or_figure_data,yes,yes,yes,no,no,yes,yes,yes,yes,500x-class claim requires preliminary/non-strict label
results/pynq_sparse_pareto/application_latency_report.md,md,legacy_sparse_pareto,report_or_text,no,no,yes,no,no,yes,no,no,yes,
results/pynq_sparse_pareto/experiment1_figure_interpretation.md,md,legacy_sparse_pareto,report_or_text,yes,no,yes,yes,no,no,no,yes,yes,
results/pynq_sparse_pareto/resource_completion_report.md,md,legacy_sparse_pareto,report_or_text,yes,no,yes,yes,no,no,no,yes,yes,
results/pynq_sparse_pareto/final_pynq_sparse_pareto_summary_speedup_fixed.csv,csv,legacy_sparse_pareto,table_or_figure_data,yes,yes,yes,yes,no,no,no,yes,yes,500x-class claim requires preliminary/non-strict label
results/pynq_sparse_pareto/final_application_latency_summary.csv,csv,legacy_sparse_pareto,table_or_figure_data,no,no,yes,yes,no,yes,no,yes,yes,500x-class claim requires preliminary/non-strict label
results/pynq_sparse_pareto/pending_pynq_runs_q16_qks10_qks20.md,md,legacy_sparse_pareto,report_or_text,yes,yes,yes,no,no,yes,yes,yes,yes,
results/pynq_sparse_pareto/e2e_image_latency_report.md,md,legacy_sparse_pareto,report_or_text,yes,yes,yes,no,no,yes,yes,no,yes,
results/pynq_sparse_pareto/q16_qks10_qks20_generation_report.md,md,legacy_sparse_pareto,report_or_text,yes,yes,yes,yes,yes,no,yes,yes,yes,
results/fpga_pynq_z2/fpga_results_with_anomalies.csv,csv,unclear,table_or_figure_data,no,no,yes,no,no,no,no,no,review,
results/fpga_pynq_z2/fpga_results.csv,csv,unclear,table_or_figure_data,no,no,yes,no,no,no,no,no,review,
results/fpga_pynq_z2/validation_samples_with_anomalies.csv,csv,unclear,table_or_figure_data,no,no,no,no,no,no,no,no,review,
results/fpga_pynq_z2/linear_fpga_results_with_anomalies.csv,csv,unclear,table_or_figure_data,no,no,yes,no,no,no,no,no,review,
results/fpga_pynq_z2/comparison.csv,csv,unclear,table_or_figure_data,no,no,yes,no,no,no,no,no,review,
results/fpga_pynq_z2/linear_validation_samples_with_anomalies.csv,csv,unclear,table_or_figure_data,no,no,no,no,no,no,no,no,review,
results/fpga_pynq_z2/linear_hls_c_results_with_anomalies.csv,csv,unclear,table_or_figure_data,no,no,no,no,no,no,no,no,review,
results/fpga_pynq_z2/csim_results.csv,csv,unclear,table_or_figure_data,no,no,no,no,no,no,no,no,review,
results/fpga_pynq_z2/validation_samples.csv,csv,unclear,table_or_figure_data,no,no,no,no,no,no,no,no,review,
results/fpga_pynq_z2/linear_hls_c_results_for_summary.csv,csv,unclear,table_or_figure_data,no,no,yes,no,no,no,no,no,review,
results/fpga_pynq_z2/csim_results_with_anomalies_after_biasfix.csv,csv,unclear,table_or_figure_data,no,no,no,no,no,no,no,no,review,
results/fpga_pynq_z2/csim_results_with_anomalies.csv,csv,unclear,table_or_figure_data,no,no,no,no,no,no,no,no,review,
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_pynq_sparse_pareto_summary.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/speedup_fix_report.md,md,ESLA,report_or_text,yes,no,yes,no,no,yes,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_e2e_image_latency_summary.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,no,no,yes,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/application_latency_report.md,md,ESLA,report_or_text,no,no,yes,no,no,yes,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/experiment1_figure_interpretation.md,md,ESLA,report_or_text,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/resource_completion_report.md,md,ESLA,report_or_text,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_pynq_sparse_pareto_summary_speedup_fixed.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,yes,no,no,no,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_application_latency_summary.csv,csv,ESLA,table_or_figure_data,no,no,yes,yes,no,yes,no,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/e2e_image_latency_report.md,md,ESLA,report_or_text,yes,yes,yes,no,no,yes,yes,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s0_attn_sparse/application_latency_result.csv,csv,ESLA,table_or_figure_data,no,no,yes,no,no,yes,no,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s0_attn_sparse/e2e_image_latency_run.log,log,ESLA,run_log,yes,yes,yes,no,no,no,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s0_attn_sparse/application_latency_run.log,log,ESLA,run_log,no,no,yes,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s0_attn_sparse/e2e_image_latency_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,no,no,yes,yes,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s0_attn_sparse/q8_s0_attn_sparse_per_sample_outputs.csv,csv,ESLA,table_or_figure_data,no,no,no,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s0_attn_sparse/q8_s0_attn_sparse_pynq_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,yes,no,yes,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s0_attn_sparse/vivado_resource.csv,csv,ESLA,table_or_figure_data,no,no,no,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/imgds_raw_test_subset/manifest.csv,csv,ESLA,table_or_figure_data,no,yes,no,no,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_summary_2x2.png,png,ESLA,figure_candidate,no,no,no,no,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_acc_vs_e2e_latency.pdf,pdf,ESLA,figure_candidate,yes,no,yes,no,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_resource_comparison.png,png,ESLA,figure_candidate,no,no,no,yes,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_acc_vs_e2e_latency.png,png,ESLA,figure_candidate,yes,no,yes,no,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_sparsity_effect.pdf,pdf,ESLA,figure_candidate,no,no,no,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_acc_vs_lut.png,png,ESLA,figure_candidate,yes,no,no,yes,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_resource_comparison.pdf,pdf,ESLA,figure_candidate,no,no,no,yes,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_acc_vs_lut.pdf,pdf,ESLA,figure_candidate,yes,no,no,yes,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_sparsity_effect.png,png,ESLA,figure_candidate,no,no,no,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/final_figures/fig_exp1_summary_2x2.pdf,pdf,ESLA,figure_candidate,no,no,no,no,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/application_latency_result.csv,csv,ESLA,table_or_figure_data,no,no,yes,no,no,yes,no,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/e2e_image_latency_run.log,log,ESLA,run_log,yes,yes,yes,no,no,no,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/q16_s10_attn_sparse_pynq_result.csv,csv,ESLA,table_or_figure_data,yes,no,yes,yes,no,yes,no,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/q16_s10_pynq_full_run_final.log,log,ESLA,run_log,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/application_latency_run.log,log,ESLA,run_log,no,no,yes,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/q16_s10_pynq_full_run.log,log,ESLA,run_log,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/e2e_image_latency_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,no,no,yes,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/q16_s10_pynq_full_run_fixed.log,log,ESLA,run_log,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s10_attn_sparse/vivado_resource.csv,csv,ESLA,table_or_figure_data,no,no,no,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s20_attn_sparse/application_latency_result.csv,csv,ESLA,table_or_figure_data,no,no,yes,no,no,yes,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s20_attn_sparse/q16_s20_attn_sparse_pynq_result.csv,csv,ESLA,table_or_figure_data,yes,no,yes,yes,no,yes,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s20_attn_sparse/e2e_image_latency_run.log,log,ESLA,run_log,yes,yes,yes,no,no,no,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s20_attn_sparse/q16_s20_pynq_full_run.log,log,ESLA,run_log,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s20_attn_sparse/q16_s20_pynq_full_run_final.log,log,ESLA,run_log,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s20_attn_sparse/application_latency_run.log,log,ESLA,run_log,no,no,yes,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s20_attn_sparse/e2e_image_latency_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,no,no,yes,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s20_attn_sparse/vivado_resource.csv,csv,ESLA,table_or_figure_data,no,no,no,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s0_attn_sparse/application_latency_result.csv,csv,ESLA,table_or_figure_data,no,no,yes,no,no,yes,no,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s0_attn_sparse/e2e_image_latency_run.log,log,ESLA,run_log,yes,yes,yes,no,no,no,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s0_attn_sparse/q16_s0_attn_sparse_pynq_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,yes,no,yes,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s0_attn_sparse/application_latency_run.log,log,ESLA,run_log,no,no,yes,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s0_attn_sparse/e2e_image_latency_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,no,no,yes,yes,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s0_attn_sparse/q16_s0_attn_sparse_per_sample_outputs.csv,csv,ESLA,table_or_figure_data,no,no,no,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s0_attn_sparse/vivado_resource.csv,csv,ESLA,table_or_figure_data,no,no,no,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s30_attn_sparse/application_latency_result.csv,csv,ESLA,table_or_figure_data,no,no,yes,no,no,yes,no,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s30_attn_sparse/e2e_image_latency_run.log,log,ESLA,run_log,yes,yes,yes,no,no,no,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s30_attn_sparse/q16_s30_attn_sparse_per_sample_outputs.csv,csv,ESLA,table_or_figure_data,no,no,no,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s30_attn_sparse/application_latency_run.log,log,ESLA,run_log,no,no,yes,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s30_attn_sparse/e2e_image_latency_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,no,no,yes,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s30_attn_sparse/q16_s30_attn_sparse_pynq_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,yes,no,yes,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q16_s30_attn_sparse/vivado_resource.csv,csv,ESLA,table_or_figure_data,no,no,no,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s30_attn_sparse/application_latency_result.csv,csv,ESLA,table_or_figure_data,no,no,yes,no,no,yes,no,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s30_attn_sparse/e2e_image_latency_run.log,log,ESLA,run_log,yes,yes,yes,no,no,no,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s30_attn_sparse/q8_s30_pynq_full_run.log,log,ESLA,run_log,yes,yes,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s30_attn_sparse/application_latency_run.log,log,ESLA,run_log,no,no,yes,no,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s30_attn_sparse/e2e_image_latency_result.csv,csv,ESLA,table_or_figure_data,yes,yes,yes,no,no,yes,yes,yes,no,archived duplicate/read-only; 500x-class claim requires preliminary/non-strict label
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s30_attn_sparse/q8_s30_attn_sparse_pynq_result.csv,csv,ESLA,table_or_figure_data,yes,no,yes,yes,no,yes,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s30_attn_sparse/q8_s30_pynq_full_run_final.log,log,ESLA,run_log,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/results/pynq_sparse_pareto/q8_s30_attn_sparse/vivado_resource.csv,csv,ESLA,table_or_figure_data,no,no,no,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/experiments/imgds_linear_sparse/q8_dense_pynq_validation/README_q8_dense_pynq.md,md,ESLA,report_or_text,yes,no,no,yes,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/experiments/imgds_linear_sparse/q8_dense_pynq_validation/q8_dense_pynq_result.csv,csv,ESLA,table_or_figure_data,yes,no,yes,yes,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/experiments/imgds_linear_sparse/q16_full_pynq_validation/q16_main_paper_summary.csv,csv,ESLA,table_or_figure_data,yes,no,yes,yes,no,no,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/experiments/imgds_linear_sparse/q16_full_pynq_validation/q16_main_paper_summary.md,md,ESLA,report_or_text,yes,no,yes,yes,no,yes,no,no,no,archived duplicate/read-only
results/archive_before_real_event_sparse/experiments/imgds_linear_sparse/final_paper_experiments/tables/experiment1_attention_only_progressive_hls_candidates.csv,csv,ESLA,table_or_figure_data,yes,no,no,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/experiments/imgds_linear_sparse/final_paper_experiments/tables/final_designspace_figure_explanation.md,md,ESLA,report_or_text,yes,no,yes,yes,no,no,no,yes,no,archived duplicate/read-only
results/archive_before_real_event_sparse/experiments/imgds_linear_sparse/final_paper_experiments/tables/table4_cpu_gpu_fpga_latency.md,md,ESLA,report_or_text,no,no,yes,no,no,no,no,no,no,archived duplicate/read-only
